Topic,BM25,JM_LM,My_PRM
R101,0.35290878711931345,0.35290878711931345,0.2521682995367206
R102,0.7170436180117905,0.7116058839956251,0.6265890266641723
R103,0.16904852594403302,0.1666065235020306,0.24073526386758365
R104,0.6240811476748097,0.6148367292637954,0.6981457033964789
R105,0.6103665082194494,0.7547865586855524,0.37962536019712506
R106,0.11677489177489178,0.11106601731601731,0.1461205096073517
R107,0.4682539682539682,0.41452991452991444,0.15555555555555556
R108,0.12182539682539682,0.13293650793650794,0.1413009648303766
R109,0.4768773886275821,0.4768773886275821,0.4343471549617649
R110,0.42682539682539683,0.8611111111111112,0.5754901960784313
R111,0.24537037037037038,0.24537037037037038,0.10927645912166035
R112,0.4695767195767196,0.7683333333333333,0.5721568627450979
R113,0.1953748073408638,0.321916701683655,0.1679089239106811
R114,0.2683982683982684,1.0,0.220687134502924
R115,0.7083333333333334,0.5625,0.06644069924363682
R116,0.4239119773988195,0.4239119773988195,0.46367703753187617
R117,0.19907407407407407,0.1388888888888889,0.35555555555555557
R118,0.3595238095238095,0.39999999999999997,0.29166666666666663
R119,0.11694805194805194,0.11694805194805194,0.13414502164502162
R120,0.16525412091449826,0.16525412091449826,0.16629373359507518
R121,0.1595717731652255,0.4120819681285731,0.17827375857190592
R122,0.8721774374085299,0.8473758501069426,0.5660078304488243
R123,0.04767411127263116,0.04767411127263116,0.04958583570084271
R124,0.3474035671616316,0.3767025089605734,0.3907371794871795
R125,0.5552496270247228,0.41820411343758224,0.6421114495762833
R126,0.8116330469903065,0.6242640521560968,0.7759384127701981
R127,0.6435897435897436,0.43692307692307686,0.3388235294117647
R128,0.10619723066531578,0.36447368421052634,0.147247733085329
R129,0.30317123051327455,0.30317123051327455,0.35560542821197233
R130,0.3888888888888889,0.3333333333333333,0.12933684672815107
R131,0.2277167277167277,0.2078754578754579,0.5107142857142857
R132,0.14948766264555738,0.21961927751401436,0.09455091692470285
R133,0.5215204678362573,0.7026315789473685,0.5547979797979798
R134,0.22814814814814813,0.3263776963776963,0.378989898989899
R135,0.43359236767131504,0.5071323081268513,0.4300075493864314
R136,0.42784565740980207,0.2690576230492197,0.3165313852813853
R137,0.3547008547008547,0.7291666666666666,0.15
R138,0.13061808756525,0.2110471966564403,0.08082773293770737
R139,0.5333333333333333,0.45,0.7222222222222222
R140,0.29802460346978754,0.29802460346978754,0.2223657714834185
R141,0.4836051048222029,0.49516483636950964,0.4481224624165239
R142,0.19985380116959062,0.19985380116959062,0.4338235294117647
R143,0.06266742583098393,0.07019732457780017,0.0968758153656396
R144,0.20330092097628302,0.564189761844224,0.17994702665755294
R145,0.09297833836553122,0.09297833836553122,0.03655389504363751
R146,0.3586912716075673,0.3586912716075673,0.4534873942971109
R147,0.0992117390249818,0.07990990210157221,0.07518180975526559
R148,0.6890949328449328,0.3938554135922557,0.3897136314152696
R149,0.20559732664995822,0.20559732664995822,0.25119047619047613
R150,0.6916666666666667,0.425,0.3333333333333333
MAP,0.35725966514582885,0.3942192636125839,0.3186158249966163
